order_id,platform,sku_code,product_name,category,order_value,shipping_fee,seller_voucher,platform_fee,order_status,transaction_date,review_score,review_text
ORD-20260001,TikTok Shop,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,600152,29537,5000,24006,COMPLETED,2026-05-06 00:00:00,4,"Kualitas ok sesuai harga, barang berfungsi dengan baik."
ORD-20260002,Lazada,SKU-FSH-002,Kemeja Flanel Kotak Lengan Panjang,Fashion,73939,10015,5000,2957,COMPLETED,2026-08-11 00:00:00,4,"Kualitas ok sesuai harga, barang berfungsi dengan baik."
ORD-20260003,Lazada,SKU-FSH-001,Kaos Polos Cotton Combed 30s,Fashion,617397,21924,5000,24695,COMPLETED,2026-08-17 00:00:00,5,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260004,TikTok Shop,SKU-FSH-001,Kaos Polos Cotton Combed 30s,Fashion,177057,21518,25000,7082,COMPLETED,2026-02-27 00:00:00,4,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260005,Shopee,SKU-FSH-002,Kemeja Flanel Kotak Lengan Panjang,Fashion,181660,18083,25000,7266,CANCELLED,2026-08-12 00:00:00,,
ORD-20260006,TikTok Shop,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,489524,28797,25000,19580,COMPLETED,2026-06-01 00:00:00,5,"Barang original 100%, mantap recommended seller!"
ORD-20260007,Tokopedia,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,635838,15962,0,25433,COMPLETED,2026-05-15 00:00:00,5,"Kualitas ok sesuai harga, barang berfungsi dengan baik."
ORD-20260008,Tokopedia,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,424483,11875,25000,16979,COMPLETED,2026-07-01 00:00:00,5,"Produk bagus banget, pengiriman cepat dan packing rapi!"
ORD-20260009,TikTok Shop,SKU-FSH-001,Kaos Polos Cotton Combed 30s,Fashion,583004,14123,25000,23320,COMPLETED,2026-07-15 00:00:00,5,"Produk bagus banget, pengiriman cepat dan packing rapi!"
ORD-20260010,TikTok Shop,SKU-ELC-002,Powerbank Fast Charging 10000mAh,Elektronik,85754,18066,15000,3430,COMPLETED,2026-07-06 00:00:00,5,"Produk bagus banget, pengiriman cepat dan packing rapi!"
ORD-20260011,Tokopedia,SKU-KCT-002,Sunscreen Gel SPF 50 PA++++,Kecantikan,706254,10974,25000,28250,COMPLETED,2026-03-25 00:00:00,5,"Produk bagus banget, pengiriman cepat dan packing rapi!"
ORD-20260012,Tokopedia,SKU-FSH-002,Kemeja Flanel Kotak Lengan Panjang,Fashion,731406,24333,10000,29256,COMPLETED,2026-05-14 00:00:00,5,"Barang original 100%, mantap recommended seller!"
ORD-20260013,Tokopedia,SKU-ELC-002,Powerbank Fast Charging 10000mAh,Elektronik,76558,18803,15000,3062,CANCELLED,2026-04-24 00:00:00,,
ORD-20260014,Tokopedia,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,457864,33039,0,18314,COMPLETED,2026-05-07 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260015,Tokopedia,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,738086,28991,15000,29523,RETURNED,2026-06-25 00:00:00,2,"Pengiriman lama sekali, kemasan penyok dan barang agak lecet."
ORD-20260016,Shopee,SKU-ELC-002,Powerbank Fast Charging 10000mAh,Elektronik,152709,16480,15000,6108,RETURNED,2026-06-17 00:00:00,1,"Bahan tipis tidak sesuai deskripsi produk, ajukan retur."
ORD-20260017,Shopee,SKU-ELC-002,Powerbank Fast Charging 10000mAh,Elektronik,322722,21159,15000,12908,COMPLETED,2026-03-11 00:00:00,5,"Barang original 100%, mantap recommended seller!"
ORD-20260018,Tokopedia,SKU-FSH-001,Kaos Polos Cotton Combed 30s,Fashion,214170,27516,5000,8566,COMPLETED,2026-01-03 00:00:00,5,"Barang original 100%, mantap recommended seller!"
ORD-20260019,Lazada,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,718911,31159,10000,28756,COMPLETED,2026-08-30 00:00:00,5,"Produk bagus banget, pengiriman cepat dan packing rapi!"
ORD-20260020,Tokopedia,SKU-ELC-002,Powerbank Fast Charging 10000mAh,Elektronik,329179,28071,10000,13167,COMPLETED,2026-03-12 00:00:00,5,"Produk bagus banget, pengiriman cepat dan packing rapi!"
ORD-20260021,Lazada,SKU-KCT-002,Sunscreen Gel SPF 50 PA++++,Kecantikan,427142,15772,0,17085,COMPLETED,2026-04-05 00:00:00,5,"Barang original 100%, mantap recommended seller!"
ORD-20260022,TikTok Shop,SKU-FSH-002,Kemeja Flanel Kotak Lengan Panjang,Fashion,73554,10246,15000,2942,COMPLETED,2026-04-15 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260023,Lazada,SKU-KSH-001,Minyak Angin Aromatheraphy 10ml,Kesehatan,557674,25864,5000,22306,COMPLETED,2026-02-10 00:00:00,4,"Barang original 100%, mantap recommended seller!"
ORD-20260024,Lazada,SKU-KSH-001,Minyak Angin Aromatheraphy 10ml,Kesehatan,352038,22935,5000,14081,COMPLETED,2026-06-07 00:00:00,4,"Barang original 100%, mantap recommended seller!"
ORD-20260025,Tokopedia,SKU-ELC-002,Powerbank Fast Charging 10000mAh,Elektronik,554532,15895,0,22181,CANCELLED,2026-03-15 00:00:00,,
ORD-20260026,TikTok Shop,SKU-FSH-002,Kemeja Flanel Kotak Lengan Panjang,Fashion,722258,13516,0,28890,COMPLETED,2026-06-09 00:00:00,5,"Kualitas ok sesuai harga, barang berfungsi dengan baik."
ORD-20260027,Lazada,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,450018,14344,10000,18000,COMPLETED,2026-06-18 00:00:00,5,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260028,Tokopedia,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,654995,20377,5000,26199,CANCELLED,2026-03-24 00:00:00,,
ORD-20260029,Shopee,SKU-FSH-001,Kaos Polos Cotton Combed 30s,Fashion,692171,32322,25000,27686,COMPLETED,2026-03-12 00:00:00,5,"Kualitas ok sesuai harga, barang berfungsi dengan baik."
ORD-20260030,Lazada,SKU-FSH-002,Kemeja Flanel Kotak Lengan Panjang,Fashion,527621,18561,15000,21104,RETURNED,2026-07-16 00:00:00,1,"Bahan tipis tidak sesuai deskripsi produk, ajukan retur."
ORD-20260031,Shopee,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,626930,12422,5000,25077,COMPLETED,2026-02-27 00:00:00,5,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260032,Tokopedia,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,49363,19767,5000,1974,COMPLETED,2026-01-07 00:00:00,5,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260033,Tokopedia,SKU-KCT-002,Sunscreen Gel SPF 50 PA++++,Kecantikan,43864,25146,0,1754,RETURNED,2026-02-24 00:00:00,1,"Bahan tipis tidak sesuai deskripsi produk, ajukan retur."
ORD-20260034,Shopee,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,77792,24935,15000,3111,COMPLETED,2026-04-07 00:00:00,4,"Produk bagus banget, pengiriman cepat dan packing rapi!"
ORD-20260035,Lazada,SKU-FSH-001,Kaos Polos Cotton Combed 30s,Fashion,730315,21793,0,29212,COMPLETED,2026-07-16 00:00:00,3,"Biasa saja, pengiriman agak lama."
ORD-20260036,TikTok Shop,SKU-ELC-001,Headset Bluetooth Wireless TWS,Elektronik,365704,32214,15000,14628,COMPLETED,2026-05-20 00:00:00,5,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260037,Lazada,SKU-KCT-002,Sunscreen Gel SPF 50 PA++++,Kecantikan,719654,28060,10000,28786,COMPLETED,2026-09-02 00:00:00,5,"Sangat puas belanja di toko ini, seller ramah dan responsif."
ORD-20260038,Lazada,SKU-KCT-001,Serum Wajah Brightening Vitamin C,Kecantikan,190706,17844,5000,7628,COMPLETED,2026-08-01 00:00:00,5,"Produk bagus banget, pengiriman cepat dan packing rapi!"
ORD-20260039,Lazada,SKU-KSH-001,Minyak Angin Aromatheraphy 10ml,Kesehatan,385826,17063,10000,15433,CANCELLED,2026-02-09 00:00:00,,
ORD-20260040,TikTok Shop,SKU-FSH-001,Kaos Polos Cotton Combed 30s,Fashion,248516,25874,15000,9940,COMPLETED,2026-02-23 00:00:00,3,"Biasa saja, pengiriman agak lama."
